kernel_id,bx,by,bz,best_time,default_time,points,gpoints_per_s,nargs,nstencil_args,widest_radius,widest_radius_x,widest_radius_y,widest_radius_z,stencil_sig,max_threads_per_block
130,32,4,1,5.00679e-05,5.00679e-05,1040502,20.7818,5,5,2,2,0,0,"0,0,0;0,0,0:1,0,0;0,0,0;s3D_000_P100_M100_stride3D_x;0,0,0:1,0,0:2,0,0:-1,0,0",1024
131,32,4,1,4.60148e-05,4.60148e-05,1030301,22.3907,4,4,1,1,0,0,"0,0,0;0,0,0;0,0,0;0,0,0:-1,0,0",1024
114,32,4,1,4.29153e-05,4.29153e-05,1124864,26.2112,5,5,1,0,1,1,"0,0,0;0,0,0;0,0,0;0,0,0:0,0,1;0,0,0:0,1,0",1024
116,32,4,1,8.10623e-05,8.10623e-05,1040400,12.8346,8,8,2,0,2,0,"0,0,0;0,0,0:0,-1,0;s3D_000_0P10_stride3D_y;s3D_000_0P10_0M10_stride3D_y;0,0,0:1,0,0:0,-1,0:0,-2,0;0,0,0:1,0,0:0,-1,0:0,-2,0;0,0,0;0,0,0",1024
117,32,4,1,8.4877e-05,8.4877e-05,1000000,11.7818,11,11,1,0,1,0,"0,0,0;0,0,0;0,0,0:0,1,0;0,0,0:0,1,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0:0,1,0",1024
124,32,4,1,4.69685e-05,4.69685e-05,1124864,23.9493,5,5,1,0,1,1,"0,0,0;0,0,0;0,0,0;0,0,0:0,1,0;0,0,0:0,0,1",1024
132,32,4,1,2.7895e-05,2.7895e-05,1060904,38.0321,2,2,1,1,1,1,"0,0,0;f0,0,0:-1,1,-1",1024
133,32,4,1,4.91142e-05,4.91142e-05,1050703,21.393,5,5,1,1,1,1,"0,0,0;f0,0,0:-1,-1,-1;f0,0,0:-1,-1,-1;0,0,0;0,0,0:0,-1,0",1024
134,32,4,1,5.10216e-05,5.10216e-05,1040502,20.3934,5,5,2,0,2,0,"0,0,0;0,0,0:0,1,0;0,0,0;s3D_000_0P10_0M10_stride3D_y;0,0,0:1,0,0:0,2,0:0,-1,0",1024
135,32,4,1,4.60148e-05,4.60148e-05,1030301,22.3907,4,4,1,0,1,0,"0,0,0;0,0,0;0,0,0;0,0,0:0,-1,0",1024
119,32,4,1,3.50475e-05,3.50475e-05,1124864,32.0954,4,4,1,0,0,1,"0,0,0;0,0,0;0,0,0;0,0,0:0,0,1",1024
120,32,4,1,7.29561e-05,7.29561e-05,1020000,13.981,8,8,2,0,0,2,"0,0,0;0,0,0:0,0,-1;s3D_000_00P1_stride3D_z;s3D_000_00P1_00M1_stride3D_z;0,0,0:1,0,0:0,0,-1:0,0,-2;0,0,0:1,0,0:0,0,-1:0,0,-2;0,0,0;0,0,0",1024
121,32,4,1,8.39233e-05,8.39233e-05,1000000,11.9156,11,11,1,0,0,1,"0,0,0;0,0,0;0,0,0:0,0,1;0,0,0:0,0,1;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0:0,0,1",1024
127,32,4,1,3.79086e-05,3.79086e-05,1124864,29.6731,4,4,1,0,0,1,"0,0,0;0,0,0;0,0,0;0,0,0:0,0,1",1024
136,32,4,1,2.88486e-05,2.88486e-05,1060904,36.7748,2,2,1,1,1,1,"0,0,0;f0,0,0:-1,-1,1",1024
137,32,4,1,5.00679e-05,5.00679e-05,1050703,20.9856,5,5,1,1,1,1,"0,0,0;f0,0,0:-1,-1,-1;f0,0,0:-1,-1,-1;0,0,0;0,0,0:0,0,-1",1024
138,32,4,1,5.50747e-05,5.50747e-05,1040502,18.8926,5,5,2,0,0,2,"0,0,0;0,0,0:0,0,1;0,0,0;s3D_000_00P1_00M1_stride3D_z;0,0,0:1,0,0:0,0,2:0,0,-1",1024
139,32,4,1,4.60148e-05,4.60148e-05,1030301,22.3907,4,4,1,0,0,1,"0,0,0;0,0,0;0,0,0;0,0,0:0,0,-1",1024
140,32,4,1,3.19481e-05,3.19481e-05,1000000,31.3008,4,4,0,0,0,0,"0,0,0;0,0,0;0,0,0;0,0,0",1024
141,32,4,1,4.88758e-05,4.88758e-05,1030301,21.08,6,6,0,0,0,0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",1024
118,32,4,1,5.00679e-05,5.00679e-05,1124864,22.4668,6,6,1,1,1,1,"0,0,0;0,0,0;0,0,0;0,0,0:1,0,0;0,0,0:0,1,0;0,0,0:0,0,1",1024
123,32,4,1,5.4121e-05,5.4121e-05,1124864,20.7842,6,6,1,1,1,1,"0,0,0;0,0,0;0,0,0;0,0,0:1,0,0;0,0,0:0,1,0;0,0,0:0,0,1",1024
115,32,4,1,4.1008e-05,4.1008e-05,1124864,27.4304,5,5,1,1,1,0,"0,0,0;0,0,0;0,0,0;0,0,0:0,1,0;0,0,0:1,0,0",1024
125,32,4,1,4.60148e-05,4.60148e-05,1124864,24.4457,5,5,1,1,1,0,"0,0,0;0,0,0;0,0,0;0,0,0:1,0,0;0,0,0:0,1,0",1024
111,32,4,1,3.29018e-05,3.29018e-05,1124864,34.1886,4,4,1,1,0,0,"0,0,0;0,0,0;0,0,0;0,0,0:1,0,0",1024
126,32,4,1,3.79086e-05,3.79086e-05,1124864,29.6731,4,4,1,1,0,0,"0,0,0;0,0,0;0,0,0;0,0,0:1,0,0",1024



Autotune -- 0
total of rows -- 140
app name -- cloverleaf_cuda
default total time -- 5.61496
best total time -- 5.61496
